Symbol,Security,GICS Sector,valid_yahoo_ticker,resolved_name,resolved_exchange,resolved_score,SourceIndex,Sektor
DE,DEERE,Industrials,DE,Deere & Company,NYQ,2010400.0,SP500,
PANW,PALO ALTO NETWORKS INC,Information Technology,PANW,"Palo Alto Networks, Inc.",NMS,2014700.0,SP500,
BMY,BRISTOL MYERS SQUIBB,Health Care,BMY,Bristol-Myers Squibb Company,NYQ,2018900.0,SP500,
BA,BOEING,Industrials,BA,Boeing Company (The),NYQ,2155300.0,SP500,
MDT,MEDTRONIC PLC,Health Care,MDT,Medtronic plc.,NYQ,2010600.0,SP500,
ETN,EATON PLC,Industrials,ETN,"Eaton Corporation, PLC",NYQ,2006500.0,SP500,
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,SHOP,Shopify Inc.,NYQ,2014700.0,NASDAQ100,
6501,HITACHI LTD,Industrials,6501.T,HITACHI,JPX,20007.0,,
1810,XIAOMI CORP,Information Technology,1810.HK,XIAOMI-W,HKG,20021.0,,
MU,MICRON TECHNOLOGY INC,Information Technology,MU,"Micron Technology, Inc.",NMS,10817500.0,SP500,
CB,CHUBB LTD,Financials,CB,Chubb Limited,NYQ,2004300.0,SP500,
UBSG,UBS GROUP AG,Financials,UBSG.SW,UBS GROUP N,EBS,20011.0,MSCI World,
SBUX,STARBUCKS CORP,Consumer Discretionary,SBUX,Starbucks Corporation,NMS,2011000.0,SP500,
MMC,MARSH & MCLENNAN INC,Financials,MMC,"Marsh & McLennan Companies, Inc",NYQ,2006000.0,SP500,
3690,MEITUAN,Consumer Discretionary,3690.HK,MEITUAN-W,HKG,20006.0,,
HDFCBANK,HDFC BANK LTD,Financials,HDFCBANK.NS,HDFC BANK LTD,NSI,20003.0,,
INTC,INTEL CORPORATION CORP,Information Technology,INTC,Intel Corporation,NMS,2135700.0,SP500,
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Materials,AI,"C3.ai, Inc.",NYQ,2013400.0,,
SAN,BANCO SANTANDER SA,Financials,SAN,"Banco Santander, S.A. Sponsored",NYQ,2002800.0,,
AIR,AIRBUS GROUP,Industrials,AIR,AAR Corp.,NYQ,2000700.0,,
ADI,ANALOG DEVICES INC,Information Technology,ADI,"Analog Devices, Inc.",NMS,2006900.0,SP500,
BX,BLACKSTONE INC,Financials,BX,Blackstone Inc.,NYQ,2009400.0,SP500,
PLD,PROLOGIS REIT INC,Real Estate,PLD,"Prologis, Inc.",NYQ,10026000.0,SP500,
TD,TORONTO DOMINION,Financials,TD,Toronto Dominion Bank (The),NYQ,2001900.0,,
LRCX,LAM RESEARCH CORP,Information Technology,LRCX,Lam Research Corporation,NMS,2006500.0,SP500,
MO,ALTRIA GROUP INC,Consumer Staples,MO,"Altria Group, Inc.",NYQ,2028400.0,SP500,
LMT,LOCKHEED MARTIN CORP,Industrials,LMT,Lockheed Martin Corporation,NYQ,2032900.0,SP500,
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Consumer Discretionary,CFR,"Cullen/Frost Bankers, Inc.",NYQ,2001000.0,,
ZURN,ZURICH INSURANCE GROUP AG,Financials,ZWS,Zurn Elkay Water Solutions Corp,NYQ,20012.0,,
AMT,AMERICAN TOWER REIT CORP,Real Estate,AMT,American Tower Corporation (REI,NYQ,2005200.0,SP500,
ELV,ELEVANCE HEALTH INC,Health Care,ELV,"Elevance Health, Inc.",NYQ,2004500.0,SP500,
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,ICE,Intercontinental Exchange Inc.,NYQ,2004400.0,SP500,
8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Financials,8316.T,SUMITOMO MITSUI FINANCIAL GROUP,JPX,20006.0,,
SO,SOUTHERN,Utilities,SO,Southern Company (The),NYQ,2009900.0,SP500,
IBE,IBERDROLA SA,Utilities,^IBEX,IBEX 35...,MCE,20022.0,,
KLAC,KLA CORP,Information Technology,KLAC,KLA Corporation,NMS,2005400.0,SP500,
BP.,BP PLC,Energy,BP,BP p.l.c.,NYQ,20228.0,,
REL,RELX PLC,Industrials,RLF.SW,RELIEF THERAPEUTICS N,EBS,20030.0,,
