Fund Holdings as of,"09/Jan/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","106,426,525.20","0.08","106,426,525.20","2,102,460.00","50.62","United States","New York Stock Exchange Inc.","USD"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","106,393,755.72","0.08","106,393,755.72","402,108.00","264.59","United States","New York Stock Exchange Inc.","USD"
"INVE B","INVESTOR CLASS B","Financials","Equity","106,265,713.24","0.08","106,265,713.24","2,873,277.00","36.98","Sweden","Nasdaq Omx Nordic","SEK"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energy","Equity","104,767,914.21","0.08","104,767,914.21","3,261,142.00","32.13","Canada","Toronto Stock Exchange","CAD"
"CP","CANADIAN PACIFIC KANSAS CITY LTD","Industrials","Equity","104,738,783.04","0.08","104,738,783.04","1,461,146.00","71.68","Canada","Toronto Stock Exchange","CAD"
"6861","KEYENCE CORP","Information Technology","Equity","104,035,766.78","0.08","104,035,766.78","284,804.00","365.29","Japan","Tokyo Stock Exchange","JPY"
"MFC","MANULIFE FINANCIAL CORP","Financials","Equity","103,819,503.20","0.08","103,819,503.20","2,772,979.00","37.44","Canada","Toronto Stock Exchange","CAD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","103,379,427.06","0.08","103,379,427.06","515,711.00","200.46","United States","NASDAQ","USD"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","102,285,279.33","0.08","102,285,279.33","304,629.00","335.77","United States","New York Stock Exchange Inc.","USD"
"ABI","ANHEUSER-BUSCH INBEV SA","Consumer Staples","Equity","102,054,582.17","0.08","102,054,582.17","1,550,004.00","65.84","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Equity","101,395,062.08","0.08","101,395,062.08","695,344.00","145.82","United States","New York Stock Exchange Inc.","USD"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","100,360,077.51","0.08","100,360,077.51","349,431.00","287.21","United States","New York Stock Exchange Inc.","USD"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","99,475,835.76","0.07","99,475,835.76","1,220,862.00","81.48","United States","New York Stock Exchange Inc.","USD"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","99,073,107.48","0.07","99,073,107.48","258,582.00","383.14","United States","New York Stock Exchange Inc.","USD"
"IFX","INFINEON TECHNOLOGIES AG","Information Technology","Equity","98,685,761.23","0.07","98,685,761.23","2,040,296.00","48.37","Germany","Xetra","EUR"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","98,397,769.14","0.07","98,397,769.14","841,654.00","116.91","United States","NASDAQ","USD"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","98,111,085.60","0.07","98,111,085.60","512,490.00","191.44","United States","NASDAQ","USD"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","97,718,595.24","0.07","97,718,595.24","346,569.00","281.96","United States","New York Stock Exchange Inc.","USD"
"GLEN","GLENCORE PLC","Materials","Equity","97,446,072.88","0.07","97,446,072.88","16,043,453.00","6.07","United Kingdom","London Stock Exchange","GBP"
"PWR","QUANTA SERVICES INC","Industrials","Equity","96,670,493.76","0.07","96,670,493.76","228,768.00","422.57","United States","New York Stock Exchange Inc.","USD"
"NDA FI","NORDEA BANK","Financials","Equity","96,641,140.53","0.07","96,641,140.53","5,080,655.00","19.02","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"URI","UNITED RENTALS INC","Industrials","Equity","96,364,915.92","0.07","96,364,915.92","102,648.00","938.79","United States","New York Stock Exchange Inc.","USD"
"PCAR","PACCAR INC","Industrials","Equity","96,025,089.60","0.07","96,025,089.60","808,292.00","118.80","United States","NASDAQ","USD"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","95,712,889.69","0.07","95,712,889.69","687,247.00","139.27","United States","NASDAQ","USD"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","95,281,017.65","0.07","95,281,017.65","395,111.00","241.15","United States","NASDAQ","USD"
